number,kind,line1,line2,line3
2196,other,"The %s crushes you for %d damage!","The %s crushes %s for %s damage!","The stone giant shaman turns to rubble with the killing blow!"
2197,other,"A stone giant stomps into the room!","The stone giant stomps off to the %s.","The stone giant stomps into the room from the %s."
2198,other,"The %s crushes you for %d damage!","The %s crushes %s for %s damage!","The stone giant turns ashen as he dies!"
2199,other,"The stone giant chieftain stomps in from nowhere!","The stone giant chieftain stomps off to the %s!","The stone giant chieftain stomps in from the %s!"
2200,other,"The %s smashes you for %d damage!","The %s smashes %s for %s damage!","The stone giant chieftain roars in shock as he turns to stone!"
2201,other,"A giant skeleton stomps in from %s.","The giant skeleton stomps out of the room to the %s.","The giant skeleton charges into the room from the %s."
2202,other,"The %s claws you for %d damage!","The %s claws %s for %s damage!","Its light extinguished, the giant skeleton turns to dust."
2203,other,"A pyrotrice walks in from the %s.","The pyrotrice walks out to the %s.","The pyrotrice chases after you!"
2204,other,"","","With the killing blow, the pyrotrice squeals and turns to ash."
2205,other,"A hill giant shaman stomps into the room!","The hill giant shaman stomps off to the %s.","The hill giant shaman stomps into the room from the %s."
2206,other,"The %s smashes you for %d damage!","The %s smashes %s for %s damage!","The hill giant shaman lets out a yell and falls lifeless."
2207,other,"A hill giant stomps into the room!","The hill giant stomps off to the %s.","The hill giant stomps into the room from the %s."
2208,other,"The %s smashes you for %d damage!","The %s smashes %s for %s damage!","The hill giant falls to the ground with a crash and dies!"
2209,other,"The hill giant chieftain stomps into the room!","The hill giant chieftain stomps off to the %s.","The hill giant chieftain stomps after you!"
2210,other,"The %s smashes you for %d damage!","The %s smashes %s for %s damage!","The hill giant chieftain dies with a resounding thud!"
2211,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The devourer roars in pain, then dies!"
2212,other,"The aged earth dragon stomps in from the %s.","The aged earth dragon stomps off to the %s.",""
2213,other,"The %s claws you for %d damage!","The %s claws %s for %s damage!","The aged earth dragon shrieks in rage and explodes!"
2214,other,"A cockatrice walks in from the %s.","A cockatrice walks off to the %s.","The cockatrice chases after you!"
2215,other,"The %s rips you with its beak for %d damage!","The %s rips %s with its beak for %s damage!","The cockatrice squawks loudly then turns to stone!"
2216,other,"A slimeworm crashes through the ground into the room!","The slimeworm drags itself off to the %s.","The slimeworm drags itself in from the %s."
2217,other,"The %s chomps you for %d damage!","The %s chomps %s for %s damage!","The slimeworm collapses!"
2218,other,"A river ray glides into the room.","A river ray glides off to the %s.",""
2219,other,"The %s lashes you with its tail for %d damage!","The %s lashes %s with its tail for %s damage!","The river ray collapses, folding its wing-like fins inward!"
2220,other,"You climb up the temple stairs.","%s climbs up the temple stairs.","%s arrives from down the temple stairs."
2221,other,"You climb down the temple stairs.","%s climbs down the temple stairs.","%s arrives from up the temple stairs."
2222,other,"The charges are gone.","%s has used up all of the charges.",""
2223,other,"Your blackwood staff %s from %s for %d damage!","%s's blackwood staff %s from you for %d damage!","%s's blackwood staff %s from %s for %s damage!"
2224,other,"A vampiric beam springs from the sockets and hits %s for %d damage!","A vampiric beam springs from the sockets and hits you for %d damage!","A vampiric beam springs from the sockets and hits %s for %s damage!"
2225,spell,"You raise your skull-capped staff in the air!","%s raises their skull-capped staff in the air!","%s raises their skull-capped staff in the air!"
2226,other,"White lightning shoots out frying %s for %d damage!","White lightning shoots out frying you for %d damage!","White lightning shoots out frying %s for %s damage!"
2227,spell,"You strike your stormmetal bracers together!","%s strikes the stormmetal bracers together!","%s strikes the stormmetal bracers together!"
2228,other,"","You combust for %d damage!","%s combusts for %s damage!"
2229,spell,"","The %s glares at you!","The %s glares at %s!"
2230,other,"The %s impales you for %d damage!","The %s impales %s for %s damage!","The amazon lets out a cry, then falls lifeless."
2231,other,"The %s slices you for %d damage!","The %s slices %s for %s damage!","The amazon warrior shrieks in disbelief, then drops to the ground!"
2232,other,"The %s punches you for %d damage!","The %s punches %s for %s damage!","The amazon shaman emits a shrill cry and falls to the ground."
2233,other,"The %s skewers you for %d damage!","The %s skewers %s for %s damage!","The amazon guard drops to the ground, eyes staring blankly at you."
2234,other,"The %s slices you for %d damage!","The %s slices %s for %s damage!","The amazon battle trainer vanishes into a cloud of smoke!"
2235,other,"A male slave stumbles in from the %s.","A male slave slinks off to the %s.",""
2236,other,"The %s punches you for %d damage!","The %s punches %s for %s damage!","The male slave gets a peaceful look, then dies."
2237,cast,"You sing a haunting melody that leaves you feeling protected.","%s sings a haunting melody that leaves you feeling protected.","%s sings a haunting melody."
2238,commands,"climb branch","go branch",""
2239,other,"You climb up the branch.","%s just climbed up the branch.","%s just climbed up the branch."
2240,other,"A low hanging branch leads up into the massive tree.","",""
2241,other,"You climb down the branch.","%s just climbed down the branch.","%s just climbed down the branch."
2242,other,"A branch hangs down towards a rooftop in the Lost City.","",""
2243,other,"With a creaking noise, a branch moves and exposes an opening to the north.","",""
2244,commands,"north","go north",""
2245,commands,"turn knot","twist knot",""
2246,other,"You twist the knot set into the tree branch.","%s twists the knot set into the tree branch.",""
2247,other,"A passage deeper into the tree opens to the west.","",""
2248,commands,"west","go west","w"
2249,commands,"move branch","",""
2250,other,"You push on the branch and it moves a few inches to one side.","%s pushes on the branch and it moves a few inches to one side.",""
2251,other,"An opening in the foliage appears to the north, revealing a large branch.","",""
2252,commands,"north","",""
2253,commands,"pull vine","",""
2254,other,"You pull on the vine and it gives a few inches.","%s pulls on the vine and it gives a few inches.",""
2255,other,"You hear a rustling noise, and the foliage opens to the northwest.","",""
2256,commands,"northwest","",""
2257,other,"With several loud creaks, a branch moves revealing a path to the north.","",""
2258,commands,"north","",""
2259,commands,"push knot","",""
2260,other,"You push the knot and hear a creaking noise.","%s pushes the knot and you hear a creaking noise.",""
2261,commands,"tear bark","",""
2262,other,"As you tear at the bark, you hear a loud creaking noise.","As %s tears at the bark, you hear a loud creaking noise.",""
2263,commands,"climb vine","",""
2264,other,"You climb up the vine and pull yourself onto a narrow ledge.","%s climbs up the vine.","%s climbs up the vine and onto the rocky ledge."
2265,commands,"hanging vine","",""
2266,other,"You climb down the cliff.","%s climbs down the cliff.","%s climbs down the cliff."
2267,other,"You climb up the cliff.","%s climbs up the cliff.","%s climbs up the cliff."
2268,other,"","The constrictor wraps you in its coils!","The constrictor winds around %s!"
2269,spell,"You break free of the coils!","","You are caught in the snake's coils."
2270,other,"You are caught in the snakes coils.","The constrictor coils around you.","The constrictor coils around %s."
2271,spell,"You stop bleeding.","","You bleed from a deep gash!"
2272,other,"","The bloodhawk cuts you deeply with its wing!","The bloodhawk cuts %s deeply with its wing!"
2273,other,"The %s pounds you for %d damage!","The %s pounds %s for %s damage!","The gorilla lets out one final grunt and tumbles to the ground."
2274,other,"","The blood hawk makes a quick turn then flies away!","The blood hawk sweeps in from the %d!"
2275,other,"A gorilla enters from the jungle.","The gorilla wanders off.","A gorilla chases you in from the %d!"
2276,other,"The %s cuts you for %d damage!","The %s cuts %s with it's wing for %s damage!","The blood hawk crashes to the ground."
2277,other,"The %s %sgrazes you, but your armour deflects the blow!","The %s %sflies past %s, but %s armour deflected the cut!","The %s %sflies towards %syou, but you duck out of the way!"
2278,other,"The %s %sflies towards %s, %sbut %s ducks out of the way!","The %s flies past you barely missing with its wing!","The %s %sflies past %s barely missing them with its wing!"
2279,other,"A leafling walks into the area.","The leafling moves on.","The leafling sprints in form the %d."
2280,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The leafling falls to the ground with a thud."
2281,other,"Hundreds of insects rise from the ground forming a large swarm.","The swarm flies off in search of food.","The swarm flies in from the %s!"
2282,other,"Something in the %s bites you for %d damage!","Something in the %s bites %s for %s damage!","The swarm disperses back into the jungle as quickly as it formed."
2283,other,"The %s %shovers around you, but your armour protects you!","The %s %shovers around %s, but %s's armour protects them!","The %s %sflies toward %syou, but you duck out of the way!"
2284,other,"The %s %shovers around %s, %sbut %s ducks out of the way!","The %s %shovers around you looking for an opening!","The %s %shovers around %s looking for an opening!"
2285,other,"A whipvine breaks through the ground.","",""
2286,other,"The %s lashes you with a vine for %d damage!","The %s lashes %s with a vine for %s damage!","The whipvine retracts back under the ground to await an easier victim."
2287,other,"The %s lashes at you, but your armour deflects the blow!","The %s lashes at %s, but %s's armour deflects the blow!","The %s lashes at you, but you duck out of the way!"
2288,other,"The %s %slashes at %s %sbut %s dodges out of the way!","The %s lashes at you barely missing with its spikes!","The %s %slashes at %s barely missing them with its spikes!"
2289,other,"A snake slithers into the area!","The constrictor slithers away.","The constrictor follows right behind you!"
2290,other,"A snake slithers into the area!","The dae asp slides out of the room!","The dae asp slithers in from the %s!"
2291,other,"The %s bites you for %d damage!","The %s strikes %s for %s damage!","The dae asp drops limply to the ground lifeless."
2292,other,"A shadow frog hops into the room!","A shadow frog hops off to the %s!","The shadow frog bounds in from the %s!"
2293,other,"The %s claws you for %d damage!","The %s claws %s for %s damage!","The shadow frog slumps into a lifeless heap."
2294,other,"The %s bites you with its fine teeth for %d damage!","The %s bites %s for %s damage!","The death frog slumps into a lifeless heap."
2295,other,"You raise your head and chant a battle cry!","%s raises their head and chants a battle cry!","%s raises their head and chants a battle cry!"
2296,spell,"You begin to feel calmer.","","Your blood races in your veins!"
2297,other,"You engulf %s in a spiral of flames for %d damage!","You are engulfed in a spiral of flames for %d damage!","%s raises a palm and a spiral of flames engulfs %s for %d damage!"
2298,spell,"Your meditative state ends.","","You feel soothed."
2299,other,"A %s comes down from heaven and smites %s for %d damage!","%s smites you with a %s for %d damage!","%s smites %s with a %s for %s damage!"
2300,other,"Your %sfoes are drenched in acid as the wind batters them for %d damage!","You are drenched in acid as the wind batters you for %d damage!","An acidic tempest blows through the room!"
2301,other,"You feel nimble!","",""
2302,cast,"You sing a soothing melody.","","%s sings a soothing melody."
2303,cast,"you sing the song of the elements.","%s sings the song of the elements.","%s sings the song of the elements."
2304,spell,"You are no longer protected from the elements!","","You feel protected from the elements."
2305,spell,"You summon a powerful tempest into the room!","%s summons a powerful tempest into the room!","%s summons a powerful tempest into the room!"
2306,spell,"The dampening effect has gone!","","Your energies have been dampened!"
2307,other,"A snake slithers into the area!","The snake slithers away!","A snake slithers in from the %s."
2308,spell,"","","You feel magic being ripped from your body!"
2309,spell,"","A chilling wave of dark energy erupts from the remains of the %s!",""
2310,spell,"The chill leaves your body!","%s shivers strangely.","Your blood runs cold as ice!"
2311,other,"The %s bites you for %d damage!","The %s strikes %s for %s damage!","The jeweled viper shatters into millions of pieces."
2312,other,"A snake slithers into the area!","The snake slithers away!","A snake slithers in from the %s."
2313,other,"The %s bites you for %d damage!","The %s strikes %s for %s damage!","The silver cobra expires with a hiss."
2314,other,"The feline form of a grall emerges from the shadows.","The %s stalks off the the %s!","The %s races in after you from the %s!"
2315,other,"The %s slashes you for %d damage.","The %s slashes %s for %s damage.","The grall emits a final roar and transforms to vapor!"
2316,other,"A moss zombie rises from the ground!","The moss zombie wanders away.","The moss zombie clambers in from the %d!"
2317,other,"The %s pounds you with its fist for %d damage!","The %s pounds %s with its fist for %s damage!","The mosses of the zombie explode as its soul is released."
2318,other,"A whipvine breaks through the ground.","",""
2319,other,"The %s lashes you with a vine for %d damage!","The %s lashes %s with a vine for %s damage!","The whipvine retracts back under the ground to await an easier victim."
2320,other,"The %s %slashes at you, but your armour deflects the blow!","The %s %slashes at %s, but %s armour deflects the blow!","The %s %slashes at you, but you duck out of the way!"
2321,other,"The %s %slashes at %s, but they dodge out of the way!","The %s lashes at you, barely missing with its spikes!","The %s %slashes at %s, barely missing them with its spikes!"
2322,other,"A tasloi scout lopes into the room!","The tasloi scout lopes off to the %s","The tasloi scout runs in from the %s!"
2323,other,"The %s skewers you for %d damage!","The %s skewers %s for %s damage!","The tasloi scout falls backward, dead."
2324,other,"Your flaming %s strikes %s for %d damage!","%s launches a %s at you for %d damage!","%s launches a %s at %s for %s damage!"
2325,commands,"climb tree","",""
2326,other,"You climb up the tree.","%s climbs up the tree.","%s just climbed up the tree."
2327,commands,"tree","",""
2328,other,"You climb down the tree.","%s climbs down the tree.","%s just climbed down the tree."
2329,other,"You are entangled in sticky strands of webbing.","You are entangled in sticky strands of webbing.","You are entangled in sticky strands of webbing."
2330,other,"Strands of webbing stick to your armour, slowing you.","Strands of webbing stick to your armour, slowing you.","Strands of webbing stick to your armour, slowing you."
2331,commands,"go path","",""
2332,other,"You enter a hidden path to the west.","%s entered a hidden path to the west.","%s just entered from a hidden path to the east."
2333,commands,"path","",""
2334,other,"You enter a hidden path to the east.","%s entered a hidden path to the east.","%s just entered from a hidden path to the west."
2335,commands,"go hole","",""
2336,other,"You enter a hole in the mound.","%s just entered a hole in the mound.",""
2337,commands,"hole","",""
2338,other,"Icy hail pelts the room, freezing your foe's bones!","Icy hail pelts you, freezing your bones!","Icy hail blows through the room!"
2339,commands,"go cave","",""
2340,other,"You push aside some vines and enter the cave.","%s moves aside some vines and disappears into a small cave.","%s enters the cave from the jungle."
2341,commands,"cave","",""
2342,commands,"dig sand","dig down",""
2343,other,"You dig in the sand.","%s digs in the sand.","%s falls through the ceiling."
2344,other,"a man-sized hole in the sand.","",""
2345,other,"You hear a rumbling in the room, and a wall opens to the southwest.","",""
2346,commands,"southwest","",""
2347,commands,"pull lever","",""
2348,other,"You pull the lever and hear a rumble in the distance.","%s pulls the lever, and you hear a rumble in the distance.",""
2349,other,"Large rocks fall on your head as the room comes apart!","",""
2350,other,"You barely avoid the falling rocks as the room comes apart!","",""
2351,spell,"You raise a hand to the heavens!","%s raises a hand to the heavens!","%s raises a hand to the heavens!"
2352,other,"A %s scuttles in from the %s.","The %s scuttles off to the %s.","The sand crab scuttles after you!"
2353,other,"The %s pinches you with its claw for %d damage!","","The sand crab splits open."
2354,other,"The %s pinches you with its claw for %d damage!","The %s pinches %s with its claw for %s damage!","The sand crab splits open."
2355,other,"A %s burrows in from the %s.","A %s burrows off to the %s.","A sand worm crawls after you!"
2356,other,"The %s bites you for %d damage!","","The sand worm falls lifelessly to the ground."
2357,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The sand worm falls lifelessly to the ground."
2358,other,"A %s flies in from the %s.","A %s flies off to the %s.","A seagull flies after you!"
2359,other,"The %s pecks at you for %d damage!","","The seagull squawks loudly and furiously as its life ends."
2360,other,"The %s pecks you for %d damage!","The %s pecks %s for %s damage!","The seagull squawks loudly and furiously as its life ends."
2361,other,"The %s scratches you for %d damage!","The %s scratches %s for %s damage!","The seagull squawks loudly and furiously as its life ends."
2362,other,"A %s crawls in from the %s.","The %s crawls off to the %s.","The green tortoise crawls after you!"
2363,other,"The %s bites you for %d damage!","","The green tortoise falls slowly to the ground, and shuts its eyes."
2364,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The green tortoise falls slowly to the ground, and shuts its eyes."
2365,other,"An %s flies in from the %s.","An %s flies off to the %s.","An ocean hawk flies after you!"
2366,other,"The %s pecks you for %d damage!","","The ocean hawk spirals to the ground."
2367,other,"The %s pecks you for %d damage!","The %s pecks %s for %s damage!","The ocean hawk spirals to the ground."
2368,other,"The %s scratches you for %d damage!","The %s scratches %s for %s damage!","The ocean hawk spirals to the ground."
2369,other,"The king crab burrows up through the sand.","The king crab burrows back down into the sand.","The king crab scuttles after you."
2370,other,"The %s pinches you for %d damage!","","The king crab's shell splits open, and he collapses."
2371,other,"The %s pinches you for %d damage!","The %s pinches %s for %s damage!","The king crab's shell splits open, and he collapses."
2372,other,"A %s crawls in from the %s.","The %s crawls off to the %s.","The giant river turtle crawls after you!"
2373,other,"The %s bites you for %d damage!","","The giant river turtle's shell cracks open with a loud pop!"
2374,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The giant river turtle's shell cracks open with a loud pop!"
2375,commands,"go ladder","",""
2376,other,"You climb down the ladder.","%s just climbed down the ladder.","%s just entered the room from the ladder."
2377,commands,"ladder","",""
2378,other,"You climb up the ladder.","%s just climbed up the ladder.","%s just entered the room from the ladder."
2379,commands,"go hole","",""
2380,commands,"go beach","",""
2381,other,"You wade through the salty water to the beach.","%s wades through the water to the beach.","%s makes their way in from the lagoon waters."
2382,commands,"beach","",""
2383,commands,"go pool","",""
2384,other,"You dive from the edge of the reef into the large pool.","%s dives into the large pool.","%s enters the large pool."
2385,commands,"pool","",""
2386,other,"You crawl through the hole.","%s crawls through the hole.","%s crawls through the hole."
2387,commands,"hole","",""
2388,commands,"move rocks","",""
2389,other,"You move some rocks to the side.","%s moves some rocks to the side.","%s swims up through the hole."
2390,commands,"rocks","",""
2391,other,"You wade through the salty water to the reef.","%s wades through the water to the reef.","%s climbs upon the reef from the lagoon waters."
2392,other,"You pull yourself back up out upon the reef.","%s swims to the reefs edge.","%s pulls themself back onto the reef."
2393,other,"The earthen hands vanish!","","You are grounded!"
2394,cast,"You cast %s, hands from the earth come up and grasp your legs!","","%s casts %s, hands from the earth come up and grasp their legs!"
2395,spell,"You begin to feel less courageous.","","You feel very courageous!"
2396,other,"You feel better.","","You feel very unclean."
2397,other,"Sores appear on %s's body.","Sores appear on your body!","Sores appear on their body!"
2398,other,"The %s %ssnaps at %s, %sbut %s dodges out of the way!","The %s %ssnaps at you with its %smouth!","The %s %ssnaps at %s with its %smouth!"
2399,other,"The dark phoenix hatches from its volcanic nest!","",""
2400,spell,"","%s is overcome with fear!","You are overcome by fear!"
2401,other,"","The mamba glides out to the %s.","The %s chases after you!"
2402,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The mamba dies, its corpse turning to ash and disappears in seconds."
2403,other,"","The %s wails in agony!",""
2404,other,"","The %s's maddening chatter pierces your mind!",""
2405,spell,"The effects of the madness wear off!","","You have gone mad!"
2406,other,"A skeleton arises from its place of rest.","The %s walks off to the %s!","The bone warrior follows you!"
2407,other,"The %s skewers you for %d damage!","The %s skewers %s for %s damage!","The bone warrior falls to the ground in a dismantled heap!"
2408,other,"","The %s glides off to the %s!","The ancestral guardian floats after you!"
2409,other,"The %s burns you with its touch for %d damage!","The %s burns %s with its touch for %s damage!","The ancestral guardian dissipates into the air!"
2410,other,"","The %s walks off to the %d.","The crane spirit glides after you."
2411,other,"The %s slices you with its wing for %d damage!","The %s slices %s with its wing for %s damage!","A squawk erupts from the crane spirit as it leaves this world."
2412,other,"The %s kicks you for %d damage!","The %s kicks %s for %s damage!",""
2413,other,"","The %s searches for a meal to the %s!","THe flesh ripper bounds after you!"
2414,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","A hideous howl comes from the flesh ripper as you end its life."
2415,other,"The %s claws you for %d damage!","The %s claws %s for %s damage!",""
2416,other,"","The %s walks off to the %s.","The gorilla spirit rumbles after you."
2417,other,"The %s pounds you with its fist for %d damage!","The %s pounds %s with its fist for %s damage!","A howl erupts from the gorilla spirit as it leaves this world."
2418,other,"","The %s runs along the wall to the %d.","The monkey spirit chases after you chattering madly."
2419,other,"The %s hits you with its fist for %d damage!","The %s hits %s with its fist for %s damage!","A squeal erupts from the monkey spirit as it leaves this world."
2420,other,"The %s kicks you for %d damage!","The %s kicks %s for %s damage!",""
2422,other,"gaping hole %s","gaping hole %s","gaping hole %s"
2423,other,"You push some rocks to the side and opening gaping hole!","%s pushes some rocks to the side and opens a gaping hole!",""
2424,commands,"go jungle","",""
2425,other,"You push aside some vines and make your way back into the jungle.","%s moves aside some vines and disappears back into the jungle.","%s appears from the foilage of the jungle."
2426,commands,"jungle","",""
2427,other,"","The %s conjures fear from the depths of your mind!","The %s summons the worst %s from %s's mind!"
2428,other,"The wind dies down!","","Your being blown about by a gale of wind!"
2429,spell,"You can move again!","","Your feet are incased in coral!"
2430,other,"A sahuagin appears from the waters.","The sahuagin leaves to the %s!","The sahuagin chases you in from the %s!"
2431,other,"The %s releases a bolt of force from its palm for %d damage!","The %s releases a bolt of force at %s for %s damage!","The sahuagin falls down in a bloodied heap."
2432,other,"The %s fires a bolt of force at you!","The %s %sfires a bolt of force at %s!","The %s releases a bolt of force at you, but you dodge!"
2433,other,"The %s %sfires a bolt of force at %s from its %spalm, but %s dodges!","The %s fires a bolt of force at you but misses!","The %s %sfires a bolt of force at %s but misses!"
2434,other,"The %s skewers you for %d damage!","The %s skewers %s for %s damage!","The sahuagin falls down in a bloodied heap."
2435,other,"A coral lobster rises from its rest.","The coral lobster scuttles off to the %s!","The coral lobster chases you in from the %s!"
2436,other,"The %s claws you for %d damage!","The %s claws %s for %s damage!","The coral lobster falls dead!"
2437,other,"A brine hag shuffles into the area.","The brine hag exits to the %s!","The brine hag pursues you in from the %s!"
2438,other,"The %s claws you for %d damage!","The %s claws %s for %s damage!","A shrill scream fills the air as the brine hag falls to the ground!"
2439,spell,"The spirit of the crane has left your body!","","The spirit of the crane inhabits your body!"
2440,spell,"The spirit of the dragon has left your body!","","The spirit of the dragon inhabits your body!"
2441,spell,"The spirit of the gorilla has left your body!","","The spirit of the gorilla inhabits your body!"
2442,spell,"The spirit of the monkey has left your body!","","The spirit of the monkey inhabits your body!"
2443,spell,"You are distracted!","",""
2444,spell,"The spirit of the viper has left your body!","","The spirit of the viper inhabits your body!"
2445,other,"","","Seher'Sahham disappears in the blink of an eye."
2446,other,"He says, ""I may be old, but I count quite well and you are short!""","",""
2447,other,"You rise through the air and pass through the barrier of water!","%s rises through the air, and passes through the barrier of water!",""
2448,other,"Seher'Sahham says, ""You don't have my cauldron!""","",""
2449,other,"You give Seher'Sahham a black cauldron!","%s gives Seher'Saham a black cauldron!",""
2450,other,"Seher'Sahham gives you a scroll.","Seher'Sahham gives %s a scroll.",""
2451,other,"Seher'Sahham points his finger at you and shouts, ""Away with you!""","",""
2452,spell,"Your strength returns!","","You feel weighed down!"
2453,spell,"The magic courses through your body once again!","",""
2454,commands,"go crack","enter crack",""
2455,other,"You enter the crack in the ships hull.","%s enters the crack in the ships hull.","%s just entered the crack from the reef."
2456,commands,"crack","",""
2457,other,"You enter the crack in the ships hull.","%s entered the crack in the ships hull.","%s just arrived from the crack in the ships hull."
2458,other,"A mysterious force stops you from passing.","A mysterious force stops %s from passing west.",""
2459,other,"A mysterious force stops you from passing.","A mysterious force stops %s from passing east.",""
2460,other,"A search reveals a hidden passage to the west.","",""
2461,commands,"secret passage west","",""
2462,other,"A search reveals a secret passage to the east.","",""
2463,commands,"secret passage east","",""
2464,other,"The %s smashes you with its fist for %d damage!","The %s smashes %s with its fist for %s damage!","The magma golem stops glowing and turns into a pile of ash!"
2465,other,"The %s bites you with its fanged maw for %d damage!","The %s bites %s with its fanged maw for %s damage!","The toad lets out a belch of fire, and collapses into a heap."
2466,other,"The %s slashes you with its jagged claws for %d damage!","The %s slashes %s with its jagged claws for %s damage!","THe pyrogoyle screeches loudly and explodes into a cloud of sulphur!"
2467,other,"The %s skewers you with its barbed spear for %d damage!","The %s skewers %s with its barbed spear for %s damage!","The greater salamander slumps over and bursts into flame."
2468,other,"You throw a %s at %s and entangle them!","%s throws a %s on you, entangling you!","%s throws a %s on %s, entangling them!"
2469,other,"You throw a %s at %s's ankles, tripping them!","%s throws a %s at your ankles, tripping you!","%s throws a %s at %s's ankles, tripping them!"
2470,spell,"You get back on your feet.","","You are caught in a chain!"
2471,other,"A secret trapdoor is uncovered from under the sand!","A secret trapdoor is uncovered from under the sand!","A secret trapdoor is uncovered from under the sand!"
2472,other,"open trapdoor %s","",""
2473,commands,"dig sand","move sand","dig claw"
2474,other,"You dig in the sand, and start to uncover something!","%s digs in the sand like a nesting turtle.",""
2475,other,"The bridge twists unnaturally, dropping you into the mists below!","%s falls down through the mists, screaming all the way!",""
2476,other,"You land with a heavy thud!","You land with a heavy thud!","%s falls through the treetops above, and lands with a heavy thump!"
2477,other,"A %s swoops down upon you!","The %s swoops down upon %s.","The pyrimera roars, and charges after you!"
2478,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The heads of the pyrimera roar in final agony, then slump forward."
2479,other,"A %s walks in from the %s.","A %s walks off to the %s.","The merchant chases after you!"
2480,other,"","","The merchant curses at you and disappears in a puff of smoke!"
2481,other,"The %s %ssnaps at you, but your armour deflects the blow!","The %s %ssnaps at %s, but %s armour deflects the blow!","The %s %ssnaps at %syou, but you dodge out of the way!"
2482,other,"The %s %ssnaps at %s, %sbut %s dodges out of the way!","The %s %ssnaps at %syou!","The %s %ssnaps at %s! %s"
2483,commands,"go reef","go lagoon",""
2484,commands,"reef","",""
2485,commands,"go reef","",""
2486,other,"You exit to the pool, entering the reef.","%s just exited the pool.","%s just exited the pool."
2487,commands,"reef","",""
2488,other,"%s slashes you for %d damage!","%s slashes %s for %s damage!","Sylk shows a wry smile and disappears in a flash of bright light."
2489,other,"%s %s you, but your armor deflects the blow!","%s %s, but %s armour deflects the blow!","%s %s you with her %s, but you dodge!"
2490,other,"%s %s %s with her %s, but %s dodges!","%s %s you with her %s!","%s %s %s with her %s!"
2491,other,"%s critically slashes you for %d damage!","%s critically slashes %s for %s damage!","Sylk shows a wry smile and disappears in a flash of bright light."
2492,other,"The craftswoman says, ""You don't have enough money for that.""","",""
2493,other,"The craftswoman says, ""You don't have the materials for that.""","",""
2494,other,"The %s cleaves you for %d damage!","The %s cleaves %s for %s damage!","The fire knight vanishes, its flame extinguished."
2495,other,"A %s thunders in from the %s.","The %s thunders out to the %s.","THe behemoth hellhound charges after you!"
2496,other,"The %s savagely bites you for %d damage!","The %s savagely bites %s for %s damage!","The behemoth hellhound lets out a monstrous wail, then dies."
2497,other,"The %s punches you for %d damage!","The %s punches %s for %s damage!","The deranged priest shouts out some gibberish, falling to the ground dead."
2498,other,"The gnome merchant says, ""Come back when ye have what I need.""","",""
2499,other,"He says, ""Curse you! If you don't have his head, be gone!""","",""
2500,other,"He bellows, ""Me give you last chance or me grind your bones into meal!""","",""
2501,other,"""Either we have a deal or we do not, but stop wasting my time!""","",""
2502,other,"The %s rips you with its beak for %d damage!","The %s rips %s with its beak for %s damage!","The dark phoenix lets out a death wail and bursts into flame!"
2503,other,"A %s flaps down from above!","The %s leaves to the %s.","The %s swoops after you!"
2504,other,"The %s slices you with its claws for %d damage!","The %s slices %s with its claws for %s damage!","The demonling lets out a horrid shriek and melts into a pile of acid!"
2505,other,"Sylk grits her teeth, ""Return when you have the proper amount of money!""","",""
2506,other,"Your strength returns!","",""
2507,other,"The gaunt elder shakes their head mutely, you do not have the item.","",""
2508,other,"The gaunt elder works his magic and hands a magma amulet back to you.","",""
2509,commands,"say tharamon dur slamen","say tharamon dur slamen","say tharamon dur slamen"
2511,spell,"You tap into the wild forces of nature!","%s taps into the wild forces of nature!","%s taps into the wild forces of nature!"
2512,spell,"Your tap into nature leaves your body!","","You feel the power of a nature tap!"
2513,spell,"The forces of nature leave you.","","Wild forces of nature enhance your prowess!"
2514,other,"A devourer burrows in from the cavern wall!","The devourer crawls off to the %s!","The devourer crawls after you!"
2515,other,"The %s punches you for %d damage!","The %s punches %s for %s damage!","The gibbering mage cries out in some unknown language, and falls dead."
2516,commands,"go fountain","",""
2517,other,"You jump into the large fountain.","%s jumps into the large fountain.","%s appears through the water barrier."
2518,commands,"fountain","",""
2519,other,"You open the chest, and get a golden idol!","%s opens the chest, and gets a golden idol!",""
2520,other,"You pull your cloak tight about you!","","%s pulls their cloak tight around themself!"
2521,spell,"The protective magic fades.","","You feel protected!"
2522,spell,"You can see once more!","","You are blind!"
2523,spell,"You lose the battle frenzy!","","The fire of battle burns within your veins!"
2524,spell,"Your spiritual link fades to normal!","","You feel at one with the gods!"
2525,spell,"The guidance fades!","","You feel the gods power manifest within you!"
2526,spell,"The feeling of power fades away!","","The feeling of real ultimate power flows through you!"
2527,commands,"pp","pp",""
2528,other,"You pull the shawl tight about yourself!","%s pulls their shall tightly around them self!","%s pulls their shall tightly around them self!"
2529,spell,"The ancient gypsy grace leaves your body!","","The grace of the ancient gypsies flows through you!"
2530,other,"You adjust the tails upon your shoulders!","",""
